date,time,people,building,floor,weight (kg),num_contam,plastic,metal,glass,Other,NOTES,POSTER,SIGNAGE,item_per_kilo
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,12,0.45,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,11,1.1,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,10,0.15,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,9,2.15,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,8,0.4,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,7,0.35,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,6,0.65,3,3,0,0,,,,,4.615384615
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,5,0.15,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,4,0.7,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,3,0.6,1,1,0,0,,,,,1.666666667
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,20,0.4,1,1,0,0,,,,,2.5
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,19,1.2,3,3,0,0,,,,,2.5
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,18,0.2,1,1,0,0,,,,,5
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,17,1.65,20,19,1,0,,,,,12.12121212
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,16,0.6,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,15,1.6,15,14,1,0,,,,,9.375
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,14,1.2,3,3,0,0,,,,,2.5
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,13,1.3,2,2,0,0,,,,,1.538461538
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,12,0.25,1,1,0,0,,,,,4
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,11,0.3,1,1,0,0,,,,,3.333333333
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,10,0.65,1,0,0,0,Paper Milk Carton w print ,,,,1.538461538
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,9,0.5,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,8,0.35,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,7,0.45,1,1,0,0,,,,,2.222222222
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,6,0.65,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,5,0.5,1,1,0,0,,,,,2
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,4,0.15,1,0,0,0,Pad,,,,6.666666667
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,3,0.25,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,20,1.1,2,2,0,0,,,,,1.818181818
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,19,0.5,1,1,0,0,,,,,2
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,18,0.3,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,17,0.9,2,2,0,0,,,,,2.222222222
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,16,0.6,1,1,0,0,,,,,1.666666667
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,15,0.25,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,14,0.45,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,13,1.1,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,12,0.65,1,1,0,0,,,,,1.538461538
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,11,0.5,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,10,0.75,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,9,0,1,1,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,8,0.7,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,7,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,6,0.3,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,5,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,4,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,3,2.15,1,1,0,0,,,,,0.4651162791
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,19,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,18,0.15,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,17,0.3,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,16,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,15,0.45,1,1,0,0,,,,,2.222222222
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,14,0.55,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,13,0.35,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,12,0.3,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,11,0.25,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,10,0.25,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,9,1.8,2,2,0,0,,condom wrapper + condom :O,,,1.111111111
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,8,0.95,1,1,0,0,,,,,1.052631579
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,7,0.55,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,6,0,1,1,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,5,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,4,0.4,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,3,0,0,0,0,0,,,,,0
March 22,4:30-5:30pm ,Brenda & Ece ,Braeburn,19,0.5,1,1,0,0,,,,,2
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,18,0.35,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,17,0.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,16,0.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,15,0.25,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,14,0,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,13,0.3,1,1,0,0,,,,,3.333333333
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,12,0.3,2,2,0,0,,,,,6.666666667
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,11,0.6,4,4,0,0,,,,,6.666666667
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,10,1.1,4,4,0,0,,,,,3.636363636
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,9,1.75,1,1,0,0,,,,,0.5714285714
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,8,1.95,4,4,0,0,,,,,2.051282051
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,7,0.5,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,6,0.55,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,5,0.25,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,4,0.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,3,0.75,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,20,0.1,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,19,1.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,18,0.55,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,17,0.95,1,1,0,0,,,,,1.052631579
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,16,1.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,15,0.45,1,1,0,0,,,,,2.222222222
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,14,0.45,1,1,0,0,,,,,2.222222222
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,13,0.15,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,12,0.45,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,11,0.9,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,10,0.35,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,9,0.95,1,1,0,0,,,,,1.052631579
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,8,0.65,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,7,0.95,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,6,1.65,1,1,0,0,,,,,0.6060606061
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,5,0.15,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,4,0.25,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,3,0.25,1,1,0,0,,,,,4
