date,time,people,building,floor,weight (kg),num_contam,plastic,metal,glass,Other,NOTES,POSTER,SIGNAGE,item_per_kilo
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,16,0.2,0,0,0,0,,,"A,B",1,0
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,15,0.3,2,0,0,0,"pencil shaving, burger box",,"A,B",1,6.666666667
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,14,0.25,0,0,0,0,,,"A,B",1,0
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,13,0.15,0,0,0,0,,,"A,B",1,0
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,12,0.45,1,1,0,0,,,"A,B",1,2.222222222
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,11,0.1,0,0,0,0,,,"A,C",1,0
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,10,0.2,0,0,0,0,,,"A,C",1,0
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,9,0.13,6,5,0,0,1 pizza box,,"A,C",1,46.15384615
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,8,0.95,2,1,0,0,ketchup packet,,"A,C,D",1,2.105263158
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,7,0.3,0,0,0,0,,,"A,B",1,0
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,6,0.05,0,0,0,0,,,"A,C",1,0
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,5,0.15,2,1,0,0,1 tetra pack,,"A,C",1,13.33333333
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,4,0.35,0,0,0,0,,,"A,C",1,0
March 5,5:00pm-7:00pm,Ece and Brenda,Braeburn,3,0.8,3,3,0,0,,,A,1,3.75
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,20,0.3,2,2,0,0,1 pizza box,,A,2,6.666666667
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,19,0.3,1,1,0,0,,,"A,B",2,3.333333333
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,18,0,0,0,0,0,,,A,2,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,17,0.4,1,1,0,0,,,A,2,2.5
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,16,0,0,0,0,0,,,E,2,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,15,0.2,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,14,0,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,13,0.55,1,1,0,0,,,A,1,1.818181818
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,12,0,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,11,0.25,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,10,0.15,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,9,0.4,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,8,0,1,1,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,7,0.2,1,1,0,0,,,A,1,5
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,6,0.15,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,5,0.3,3,3,0,0,,,A,1,10
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,4,0,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Bartlett,3,0,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,19,0.65,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,18,0.15,3,3,0,0,,,A,1,20
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,17,0,0,0,0,0,,,A,1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,16,0.55,0,0,0,0,,,"A,B",1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,15,0.8,3,3,0,0,,,"A,B",1,3.75
